Code relocation records:
--- block 0000 ---
  0000:0010 Relative Code unit=U0037 blkoff=9000
  0000:0010 Relative Code unit=U003C blkoff=9000
  0000:0016 Relative Code unit=U0040 blkoff=9000
  0000:0016 Relative Code unit=U0043 blkoff=9000
  0000:0100 Relative Code unit=U0049 blkoff=900B
  0000:0027 Relative Code unit=U004C blkoff=5000
  0000:0000 Relative Code unit=U0051 blkoff=300B
  0000:0010 Relative Code unit=U0059 blkoff=9000
  0000:0000 Relative Code unit=U005E blkoff=300B
  0000:003E Relative Code unit=U0067 blkoff=5000
  0000:0000 Relative Code unit=U006C blkoff=300B
  0000:0016 Relative Code unit=U0074 blkoff=9000
  0000:0000 Relative Code unit=U0079 blkoff=300B
  0000:0052 Relative Code unit=U0082 blkoff=5000
  0000:0000 Relative Code unit=U0087 blkoff=300B
--- block 0008 ---
  0008:0000 Relative Code unit=U008F blkoff=300B
  0008:0000 Relative Code unit=U0094 blkoff=300B
  0008:0000 Relative Code unit=U0099 blkoff=9000
  0008:005B Relative Code unit=U009E blkoff=5000
  0008:0000 Relative Code unit=U00A3 blkoff=300B
  0008:0016 Relative Code unit=U00A8 blkoff=9000
  0008:0012 Relative Code unit=U00B0 blkoff=9000
  0008:0004 Relative Code unit=U00B6 blkoff=9000
  0008:0012 Relative Code unit=U00BA blkoff=9000
  0008:0012 Relative Code unit=U00BF blkoff=9000
  0008:0016 Relative Code unit=U00C3 blkoff=9000
  0008:0016 Relative Code unit=U00C6 blkoff=9000
  0008:0100 Relative Code unit=U00CB blkoff=900B
  0008:006C Relative Code unit=U00CE blkoff=5000
  0008:0000 Relative Code unit=U00D3 blkoff=300B
  0008:0012 Relative Code unit=U00DB blkoff=9000
  0008:0000 Relative Code unit=U00E0 blkoff=300B
  0008:0088 Relative Code unit=U00E9 blkoff=5000
  0008:0000 Relative Code unit=U00EE blkoff=300B
  0008:0016 Relative Code unit=U00F6 blkoff=9000
  0008:0000 Relative Code unit=U00FB blkoff=300B
  0008:0052 Relative Code unit=U0004 blkoff=5000
  0008:0000 Relative Code unit=U0009 blkoff=300B
  0008:0000 Relative Code unit=U0011 blkoff=300B
  0008:0000 Relative Code unit=MONSTRA blkoff=300B
  0008:0000 Relative Code unit=U001B blkoff=9000
  0008:00A2 Relative Code unit=U0020 blkoff=5000
  0008:0000 Relative Code unit=U0025 blkoff=300B
  0008:0016 Relative Code unit=U002A blkoff=9000
  0008:000E Relative Code unit=U0032 blkoff=9000
  0008:0000 Relative Code unit=U0038 blkoff=9000
  0008:000E Relative Code unit=U003C blkoff=9000
  0008:000E Relative Code unit=U0041 blkoff=9000
  0008:0016 Relative Code unit=U0045 blkoff=9000
  0008:0016 Relative Code unit=U0048 blkoff=9000
  0008:0100 Relative Code unit=U004E blkoff=900B
  0008:00B1 Relative Code unit=U0051 blkoff=5000
  0008:0000 Relative Code unit=U0056 blkoff=300B
  0008:000E Relative Code unit=U005E blkoff=9000
  0008:0000 Relative Code unit=U0063 blkoff=300B
  0008:00CB Relative Code unit=U006C blkoff=5000
